iter	RMSE
0	7.983739352
1	7.88659333
2	7.791568284
3	7.695354755
4	7.606228957
5	7.517891657
6	7.434097613
7	7.345321621
8	7.26076979
9	7.19293626
10	7.109610384
11	7.036953128
12	6.969343157
13	6.892814445
14	6.811084581
15	6.745732714
16	6.681877924
17	6.61107407
18	6.560762164
19	6.485076021
20	6.423911385
21	6.362747634
22	6.294695889
23	6.240742782
24	6.18438348
25	6.125917116
26	6.072039568
27	6.021331999
28	5.962259036
29	5.921221437
30	5.876260599
31	5.841120799
32	5.794709966
33	5.742338071
34	5.696127012
35	5.660827517
36	5.617063594
37	5.575379968
38	5.530707172
39	5.497596991
40	5.460316923
41	5.425557207
42	5.386570127
43	5.350532841
44	5.317543086
45	5.282186069
46	5.252172281
47	5.216654273
48	5.180242743
49	5.140942526
50	5.105591346
51	5.082921912
52	5.054853443
53	5.020818195
54	4.99476121
55	4.954015258
56	4.925945013
57	4.896045493
58	4.871365107
59	4.847359656
60	4.83322739
61	4.804174328
62	4.782570204
63	4.760162883
64	4.735984464
65	4.712976065
66	4.691021554
67	4.666619666
68	4.644109578
69	4.62357709
70	4.602898924
71	4.587892097
72	4.57558651
73	4.552641537
74	4.533384347
75	4.514677137
76	4.492377497
77	4.476517716
78	4.464093472
79	4.450661782
80	4.435329136
81	4.413147523
82	4.390731772
83	4.37216292
84	4.34866535
85	4.332949199
86	4.311988217
87	4.300391241
88	4.287770216
89	4.265514069
90	4.252050914
91	4.235877201
92	4.21215473
93	4.196996458
94	4.180805147
95	4.174629004
96	4.165294081
97	4.155218059
98	4.138667272
99	4.115607627
100	4.09701888
101	4.083745642
102	4.065613427
103	4.0512136
104	4.037098327
105	4.018789908
106	4.008715827
107	3.995277994
108	3.986516617
109	3.966807389
110	3.955732741
111	3.943267854
112	3.930761701
113	3.912512303
114	3.904868741
115	3.889790641
116	3.88251196
117	3.869841613
118	3.856371814
119	3.845808038
120	3.826291699
121	3.818742414
122	3.805818545
123	3.793148773
124	3.773636084
125	3.757899979
126	3.745171988
127	3.735890195
128	3.72367649
129	3.710383995
130	3.69333593
131	3.678698827
132	3.661896674
133	3.653860535
134	3.639173015
135	3.626304861
136	3.613424305
137	3.601478932
138	3.591983104
139	3.581243643
140	3.57121321
141	3.558654602
142	3.546867931
143	3.528167021
144	3.517351048
145	3.501664497
146	3.487626619
147	3.482285553
148	3.466191587
149	3.459278991
150	3.452870566
151	3.44701751
152	3.437605295
153	3.425054287
154	3.408472323
155	3.40219308
156	3.386984173
157	3.373545648
158	3.358129103
159	3.352054652
160	3.33849125
161	3.329987848
162	3.319300248
163	3.315972554
164	3.307858566
165	3.298850053
166	3.288394956
167	3.276456955
168	3.271205108
169	3.258104913
170	3.250918789
171	3.245673748
172	3.232686032
173	3.224565773
174	3.215121831
175	3.21037416
176	3.197099631
177	3.185624332
178	3.182876111
179	3.176859746
180	3.163174314
181	3.155651241
182	3.147204614
183	3.14259722
184	3.12954506
185	3.121229011
186	3.11999359
187	3.118172985
188	3.110270396
189	3.103585881
190	3.100102883
191	3.097391213
192	3.094533555
193	3.091865242
194	3.083917276
195	3.069052229
196	3.058745688
197	3.056243936
198	3.048335214
199	3.039817662
200	3.029917728
201	3.025282276
202	3.016700923
203	3.013510821
204	3.00564014
205	2.991011701
206	2.980615825
207	2.972370958
208	2.962845205
209	2.956094962
210	2.941917479
211	2.939345539
212	2.93595915
213	2.927204702
214	2.917790671
215	2.914712584
216	2.904922272
217	2.895024042
218	2.892996567
219	2.890521427
220	2.883250248
221	2.869487354
222	2.864289115
223	2.858332861
224	2.846382412
225	2.837771063
226	2.823130716
227	2.818483846
228	2.809040923
229	2.799181414
230	2.785095899
231	2.78067191
232	2.769582313
233	2.76706558
234	2.764725342
235	2.749782463
236	2.738244665
237	2.730900669
238	2.720400966
239	2.709802384
240	2.697559549
241	2.695688406
242	2.693585356
243	2.684733257
244	2.68281881
245	2.680708018
246	2.671787217
247	2.669864855
248	2.658940238
249	2.657147976
250	2.65546237
251	2.653457351
252	2.651633987
253	2.644594819
254	2.638599549
255	2.628381951
256	2.62661423
257	2.613974311
258	2.601030941
259	2.599474935
260	2.590423229
261	2.581420615
262	2.579679682
263	2.578033974
264	2.57138031
265	2.569955087
266	2.568182465
267	2.561340475
268	2.549961247
269	2.539838893
270	2.533842645
271	2.520866053
272	2.511031226
273	2.499807592
274	2.487004918
275	2.477372011
276	2.475520384
277	2.468926212
278	2.459709274
279	2.458216423
280	2.456576833
281	2.447623054
282	2.437919824
283	2.436242383
284	2.42775461
285	2.421273642
286	2.412391441
287	2.403565897
288	2.401993323
289	2.400177515
290	2.39279972
291	2.383500142
292	2.37884279
293	2.377234658
294	2.37559501
295	2.365498437
296	2.357150084
297	2.347725995
298	2.338475794
299	2.328566439
300	2.319525183
301	2.312435502
302	2.307815316
303	2.298176427
304	2.287834413
305	2.280067537
306	2.272065682
307	2.263108303
308	2.25590691
309	2.254625564
310	2.245045757
311	2.234290902
312	2.224176494
313	2.216382328
314	2.20878867
315	2.207202517
316	2.199991148
317	2.190765063
318	2.18443967
319	2.177110786
320	2.168988976
321	2.16341231
322	2.156872567
323	2.148223302
324	2.142103967
325	2.137892587
326	2.132948705
327	2.126130782
328	2.119727844
329	2.110482688
330	2.101922384
331	2.09906492
332	2.094877897
333	2.091280959
334	2.085138739
335	2.076027216
336	2.070764654
337	2.061007477
338	2.05122915
339	2.047598278
340	2.041601285
341	2.034968841
342	2.028071183
343	2.024368451
344	2.016257447
345	2.014067862
346	2.009104557
347	2.003238668
348	1.992989835
349	1.984444258
350	1.98067493
351	1.971481903
352	1.966969064
353	1.962417087
354	1.954956549
355	1.953956389
356	1.950048293
357	1.941987871
358	1.933889127
359	1.929483331
360	1.924684543
361	1.920536359
362	1.91527736
363	1.909460657
364	1.902604796
365	1.897151775
366	1.893610705
367	1.892542841
368	1.885791892
369	1.877426744
370	1.873829364
371	1.868164346
372	1.865582994
373	1.862718112
374	1.856353235
375	1.849498315
376	1.845327432
377	1.840924792
378	1.832419309
379	1.823538489
380	1.816648694
381	1.809829612
382	1.804106027
383	1.795058776
384	1.789940723
385	1.784605769
386	1.779115623
387	1.772842424
388	1.768635176
389	1.767211699
390	1.758248914
391	1.751873865
392	1.747295786
393	1.744689172
394	1.741962637
395	1.736904162
396	1.733898256
397	1.728449163
398	1.720704458
399	1.716401046
400	1.70855866
401	1.702188752
402	1.698705417
403	1.694816584
404	1.690106285
405	1.686536341
406	1.685504646
407	1.68041711
408	1.674065094
409	1.670224448
410	1.666079924
411	1.665073083
412	1.664209973
413	1.663373899
414	1.657312224
415	1.656438249
416	1.651186708
417	1.643908934
418	1.640158899
419	1.63929878
420	1.631538434
421	1.626801605
422	1.622169241
423	1.618036282
424	1.61711637
425	1.611809513
426	1.608788018
427	1.603250737
428	1.597507781
429	1.591621221
430	1.586917858
431	1.579178101
432	1.574839826
433	1.574050566
434	1.570274626
435	1.565896109
436	1.565126739
437	1.561946917
438	1.559505535
439	1.554883821
440	1.546746813
441	1.540539935
442	1.537797122
443	1.534920171
444	1.529835472
445	1.526322404
446	1.518661411
447	1.513135193
448	1.50818128
449	1.504441829
450	1.499780249
451	1.494236991
452	1.490781831
453	1.490052135
454	1.483422993
455	1.480809876
456	1.47945379
457	1.471521398
458	1.469497051
459	1.468902593
460	1.462545951
461	1.459179793
462	1.45456315
463	1.450948833
464	1.447380929
465	1.442478063
466	1.437507925
467	1.433989296
468	1.431352361
469	1.427365018
470	1.426751447
471	1.423793011
472	1.420876675
473	1.419165488
474	1.414558833
475	1.409651468
476	1.403908346
477	1.400199313
478	1.397746866
479	1.395013841
480	1.390589766
481	1.387189329
482	1.382929664
483	1.377625011
484	1.375087994
485	1.368211934
486	1.364742244
487	1.364148814
488	1.360051237
489	1.359512005
490	1.35666881
491	1.354547762
492	1.352132147
493	1.350064985
494	1.345216999
495	1.342600335
496	1.339454208
497	1.333262011
498	1.326603592
499	1.321621717
500	1.317596401
501	1.313059363
502	1.310306967
503	1.308316814
504	1.304164523
505	1.302444324
506	1.296197437
507	1.291669226
508	1.287789049
509	1.287243898
510	1.282760307
511	1.280504748
512	1.279512217
513	1.278956119
514	1.273437826
515	1.272920547
516	1.268142781
517	1.264396647
518	1.260620359
519	1.258654452
520	1.256717502
521	1.251294374
522	1.247352112
523	1.241695896
524	1.239850384
525	1.238280592
526	1.235106393
527	1.233088847
528	1.229906808
529	1.226147974
530	1.221929052
531	1.217932603
532	1.216233414
533	1.21533391
534	1.212518797
535	1.207828764
536	1.204766853
537	1.200459619
538	1.196732824
539	1.193719892
540	1.190692987
541	1.187140805
542	1.183855858
543	1.180081743
544	1.175820409
545	1.174103324
546	1.17095349
547	1.166619991
548	1.16102706
549	1.157245586
550	1.154203296
551	1.15029084
552	1.146389481
553	1.142964239
554	1.139908209
555	1.138931294
556	1.137038725
557	1.133554068
558	1.133002203
559	1.130327426
560	1.127619182
561	1.124873226
562	1.121284294
563	1.117905521
564	1.114894748
565	1.113480471
566	1.108339601
567	1.104995785
568	1.101566971
569	1.097632317
570	1.094898577
571	1.092531245
572	1.090563449
573	1.085675948
574	1.081798574
575	1.077648888
576	1.074547238
577	1.07237703
578	1.06776113
579	1.065930162
580	1.064706315
581	1.061243983
582	1.058453606
583	1.055380579
584	1.050778296
