iter	Passed	Remaining
0	1	1594
1	3	1527
2	4	1489
3	5	1410
4	6	1373
5	10	1779
6	12	1782
7	13	1735
8	15	1678
9	16	1637
10	17	1599
11	19	1568
12	20	1554
13	22	1556
14	24	1638
15	26	1629
16	27	1600
17	28	1567
18	29	1548
19	31	1538
20	32	1521
21	33	1501
22	34	1485
23	36	1469
24	37	1461
25	41	1540
26	42	1528
27	43	1510
28	44	1498
29	45	1483
30	47	1474
31	48	1470
32	49	1461
33	51	1455
34	52	1448
35	54	1466
36	56	1459
37	57	1461
38	59	1455
39	60	1447
40	61	1438
41	62	1430
42	63	1423
43	65	1417
44	66	1413
45	67	1401
46	69	1408
47	70	1398
48	71	1388
49	72	1378
50	73	1371
51	74	1364
52	75	1356
53	76	1348
54	77	1339
55	79	1343
56	80	1339
57	82	1335
58	84	1348
59	86	1349
60	87	1344
61	88	1338
62	89	1336
63	91	1335
64	92	1335
65	94	1335
66	95	1330
67	97	1329
68	98	1332
69	100	1339
70	102	1336
71	103	1332
72	104	1328
73	105	1325
74	107	1324
75	108	1323
76	110	1319
77	111	1316
78	113	1319
79	114	1318
80	116	1318
81	117	1316
82	118	1314
83	120	1311
84	121	1308
85	122	1304
86	123	1300
87	125	1296
88	127	1302
89	129	1306
90	130	1304
91	131	1301
92	133	1297
93	134	1295
94	135	1292
95	136	1286
96	137	1281
97	138	1276
98	139	1272
99	142	1279
100	144	1283
101	145	1282
102	147	1280
103	148	1279
104	149	1275
105	150	1272
106	152	1268
107	153	1264
108	154	1260
109	156	1262
110	157	1263
111	159	1260
112	160	1259
113	161	1258
114	163	1255
115	164	1251
116	165	1248
117	166	1245
118	167	1241
119	168	1237
120	171	1246
121	173	1250
122	175	1248
123	176	1248
124	178	1248
125	179	1246
126	180	1243
127	182	1240
128	183	1237
129	185	1239
130	187	1243
131	188	1241
132	190	1240
133	191	1237
134	192	1234
135	193	1231
136	195	1229
137	196	1227
138	197	1224
139	199	1227
140	201	1228
